Date (date),country_name,ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),commodity,unit,quantity,value_inr,value_usd,date
2024-04-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,84194090,Others,Nos,1.0,0.12,0.01,2024-04-01
2019-08-01,Thailand,THA,764,Asia,142,South-eastern Asia,35,85023100,Othr Generating Sets; Wind Powered,Nos,0.0,2.6,0.0,2019-08-01
2019-09-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,30049036,Chenodiol And Ursodiol,Kgs,0.0,0.03,0.0,2019-09-01
2017-03-01,Hong Kong,HKG,344,Asia,142,Eastern Asia,30,85437069,Other Amplifier,Nos,0.0,12.03,0.02,2017-03-01
2015-07-01,Afghanistan,AFG,4,Asia,142,Southern Asia,34,54078490,Others,Sqm,0.06,0.64,0.0,2015-07-01
2018-11-01,Bhutan,BTN,64,Asia,142,Southern Asia,34,84349010,Parts Of Milking Machinery,Kgs,0.0,0.01,0.0,2018-11-01
2016-08-01,Turkiye,TUR,792,Asia,142,Western Asia,145,52054310,Grey,Kgs,21.4,47.21,0.07,2016-08-01
2025-02-01,Kuwait,KWT,414,Asia,142,Western Asia,145,84123900,Othr Pneumatic Power Engines And Motors,Nos,10.0,0.0,0.0,2025-02-01
2024-11-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,94069090,Other,Nos,7036.0,3.36,0.4,2024-11-01
2020-09-01,Turkiye,TUR,792,Asia,142,Western Asia,145,36030020,*Detonating Fuses,Kgs,39.29,230.41,0.31,2020-09-01
2021-11-01,Saudi Arabia,SAU,682,Asia,142,Western Asia,145,85444299,Othr Elctrc Cndctrs Fitted Wth Connctrs Used In Telecom Fr <=1000V Excl Papr Plsctic And Rubber Insulated,Mtr,4.45,19.2,0.03,2021-11-01
2016-10-01,Israel,ISR,376,Asia,142,Western Asia,145,18069090,Other Food Preparations Containing Cocoa,Kgs,5.0,20.0,0.03,2016-10-01
2019-05-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,85015310,"A.C. Squirrel Cage Induction Motors, 3 Phase Type",Nos,0.0,0.49,0.0,2019-05-01
2024-07-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,73269040,Enamld Irn Ware(Excl Utnsl And Sign Bord),Kgs,155.0,0.0,0.0,2024-07-01
2018-10-01,Turkiye,TUR,792,Asia,142,Western Asia,145,38241000,Prpd Binders Fr Foundry Moulds/Cores,Kgs,40.0,15.05,0.02,2018-10-01
2021-06-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,38029011,Activated Alumina,Kgs,0.2,0.38,0.0,2021-06-01
2020-11-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,84149019,"Prts Of Othr Air/Vacum Pumps,Cmprssrs And Fans",Kgs,1.32,16.91,0.02,2020-11-01
2024-12-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,20031000,Mushrooms Prepd/Prsvd,Kgs,2.0,0.01,0.0,2024-12-01
2018-08-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,30039021,Menthol Crystal,Kgs,0.4,9.58,0.01,2018-08-01
2020-02-01,Republic of Korea,KOR,410,Asia,142,Eastern Asia,30,85021100,Genrtng Sets Wth Cmprssn Igntn Intrnl Cmbstn Pstn Engns(Diesl/Semi-Diesl Engns) Of An Output Nt Excdng 75 Kva,Nos,0.0,14.93,0.02,2020-02-01
2024-06-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,84716090,Other,Nos,353.0,0.21,0.03,2024-06-01
2017-09-01,Yemen,YEM,887,Asia,142,Western Asia,145,30049099,Other Medcne Put Up For Retail Sale N.E.S,Kgs,52.91,720.93,1.12,2017-09-01
2024-06-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,29054300,Mannitol,Kgs,7.0,0.0,0.0,2024-06-01
2021-11-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,84621019,Other Hammers,Nos,0.01,10.78,0.01,2021-11-01
2024-06-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,29280090,Othr Orgnc Drvts Of Hydrazine/Hydrxylmine,Kgs,1.0,0.0,0.0,2024-06-01
2016-08-01,Oman,OMN,512,Asia,142,Western Asia,145,84839000,Parts Of The Items Of Hdg 8483,Kgs,0.07,0.59,0.0,2016-08-01
2024-12-01,Maldives,MDV,462,Asia,142,Southern Asia,34,9093119,Other Seeds Of Black Cummin Neither Crushed Nor Ground,Kgs,1875.0,0.05,0.01,2024-12-01
2019-02-01,Nepal,NPL,524,Asia,142,Southern Asia,34,87060042,Chassis Fr Vhcls Hdng 8704 Excp Petrl Drvn,Nos,0.1,1304.67,1.83,2019-02-01
2019-08-01,Bhutan,BTN,64,Asia,142,Southern Asia,34,90021900,Other Objective Lenses,Nos,0.01,0.01,0.0,2019-08-01
2015-10-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,19059040,Papad,Kgs,42.2,50.48,0.08,2015-10-01
2018-10-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,84831099,Other Trnsmsn Shft(Incl Cam And Crnk Shft),Nos,19.91,71.88,0.1,2018-10-01
2020-10-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,90291090,Other,Nos,0.29,2.22,0.0,2020-10-01
2019-11-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,85472000,Insltng Fttngs Of Plastics,Kgs,19.0,105.79,0.15,2019-11-01
2015-10-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,87149290,Others,Nos,0.02,0.28,0.0,2015-10-01
2015-09-01,Kuwait,KWT,414,Asia,142,Western Asia,145,3028990,Other,Kgs,70.76,337.36,0.51,2015-09-01
2024-05-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,48239014,Paper For Cigarette Filter Tips,Kgs,23436.0,1.5,0.18,2024-05-01
2024-07-01,Thailand,THA,764,Asia,142,South-eastern Asia,35,85361090,Others,Nos,194.0,0.01,0.0,2024-07-01
2021-02-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,28332990,"Other Sulphates, Nes",Kgs,0.23,0.49,0.0,2021-02-01
2021-02-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,55151190,"Fbrc Of Polstr,Mxd Wth Viscos Ryon,Othrs",Sqm,6.56,7.77,0.01,2021-02-01
2017-03-01,Kyrgyzstan,KGZ,417,Asia,142,Central Asia,143,62046990,"Trousers,Bib Etc Of Other Fibres",Nos,0.12,0.82,0.0,2017-03-01
2018-09-01,Turkiye,TUR,792,Asia,142,Western Asia,145,29331990,*Other Compnds Cntng An Unfused Pyrazole Ring (W/N Hydrgntd) In Srucvre,Kgs,2.9,303.85,0.42,2018-09-01
2018-04-01,Oman,OMN,512,Asia,142,Western Asia,145,84485190,"Snkrs,Nedl Etc. Of Other Txtl Machinery",Kgs,0.0,0.23,0.0,2018-04-01
2021-12-01,Lebanon,LBN,422,Asia,142,Western Asia,145,12119022,Senna Leaves And Pads,Kgs,11.0,9.29,0.01,2021-12-01
2021-08-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,32041552,Vat Blue 4,Kgs,4.16,94.92,0.13,2021-08-01
2018-07-01,Bhutan,BTN,64,Asia,142,Southern Asia,34,73079210,Galvanised,Kgs,1.1,2.07,0.0,2018-07-01
2020-10-01,Bahrain,BHR,48,Asia,142,Western Asia,145,42050090,Others,Kgs,0.02,0.73,0.0,2020-10-01
2017-01-01,Indonesia,IDN,360,Asia,142,South-eastern Asia,35,70132800,Other,Kgs,0.01,0.01,0.0,2017-01-01
2024-10-01,Nepal,NPL,524,Asia,142,Southern Asia,34,28333090,Other Alums,Kgs,22610.0,0.05,0.01,2024-10-01
2021-09-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,29124200,Ethylvanilin (3-Ethoxy-4-Hydroxybnzldhyd),Kgs,0.03,0.41,0.0,2021-09-01
2019-11-01,Philippines,PHL,608,Asia,142,South-eastern Asia,35,28419000,"Other Salts Of Oxometallic Or Peroxometallic Acids, Nes",Kgs,0.0,0.01,0.0,2019-11-01
2018-04-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,82051000,Drilling Threading Or Taping Tools,Kgs,0.24,0.12,0.0,2018-04-01
2019-04-01,Qatar,QAT,634,Asia,142,Western Asia,145,21011190,Other Exrcts Essncs And Cncntrts Of Coffee,Kgs,5.6,10.27,0.01,2019-04-01
2016-03-01,Indonesia,IDN,360,Asia,142,South-eastern Asia,35,28275990,Bromides And Oxybromides N E S,Kgs,0.95,5.14,0.01,2016-03-01
2019-12-01,Republic of Korea,KOR,410,Asia,142,Eastern Asia,30,39269061,Hangers Of Polyurethane Foam,Kgs,0.04,0.03,0.0,2019-12-01
2020-11-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,54071099,Othr Polyester Fbrcs Nes,Sqm,658.44,332.1,0.45,2020-11-01
2015-08-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,84198190,"Othr Machinry,Plant And Equipment For Makinghot Drinks Or For Cooking/Heating Food",Nos,0.0,6.18,0.01,2015-08-01
2015-06-01,China,CHN,156,Asia,142,Eastern Asia,30,98030000,Dutiable Passengers/Crews Baggage,Kgs,10.24,6.39,0.01,2015-06-01
2020-07-01,Nepal,NPL,524,Asia,142,Southern Asia,34,30051020,Adhesive Tape (Medicinal),Kgs,0.69,7.47,0.01,2020-07-01
2019-09-01,Qatar,QAT,634,Asia,142,Western Asia,145,2042100,"Crcs And Hlf Crcs Of Sheep,Frsh Or Chld",Kgs,100.01,464.03,0.65,2019-09-01
2019-06-01,Saudi Arabia,SAU,682,Asia,142,Western Asia,145,84253900,Other Winches;Capstans,Nos,0.07,21.94,0.03,2019-06-01
2017-11-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,84079090,Others,Nos,0.09,13.79,0.02,2017-11-01
2024-09-01,Lebanon,LBN,422,Asia,142,Western Asia,145,90269000,Prtsandaccssrs Of Insrmnts/Apprts Of Hdg9026,Nos,100.0,0.0,0.0,2024-09-01
2024-07-01,Bhutan,BTN,64,Asia,142,Southern Asia,34,15155091,Sesame Oiland Its Fractions Other Thn Crudeof Edble Grade,Kgs,257.0,0.03,0.0,2024-07-01
2016-01-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,28332940,Manganese Sulphate,Kgs,0.05,0.48,0.0,2016-01-01
2016-04-01,Pakistan,PAK,586,Asia,142,Southern Asia,34,84821052,Ball Bearings(Thrust Type)>50 Mm Or 2 Inches Bore Diameter But<=100Mm Or 4 Inches Bore Diameter,Nos,1.39,3.93,0.01,2016-04-01
2016-07-01,Nepal,NPL,524,Asia,142,Southern Asia,34,84144010,Reciprocating Air Compressors,Nos,0.02,2.72,0.0,2016-07-01
2017-11-01,Indonesia,IDN,360,Asia,142,South-eastern Asia,35,9096139,Other Seeds Of Caraway Or Fennel,Kgs,44.0,22.98,0.04,2017-11-01
2016-06-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,84158290,Othr Air Cndtng Mchns Incrprtng A Rfrgrtngunit,Nos,0.39,76.62,0.11,2016-06-01
2018-09-01,Hong Kong,HKG,344,Asia,142,Eastern Asia,30,42023120,Wallets And Purses Of Leather,Nos,29.87,243.01,0.34,2018-09-01
2024-12-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,44199010,"Bread Boards, Chopping Boards And Similar Boards",Kgs,68.0,0.0,0.0,2024-12-01
2024-06-01,Azerbaijan,AZE,31,Asia,142,Western Asia,145,30042019,Other Cephalosporins And Their Derivatives,Kgs,936.0,0.11,0.01,2024-06-01
2020-09-01,Bhutan,BTN,64,Asia,142,Southern Asia,34,85078000,Other Accumulators,Nos,0.0,0.02,0.0,2020-09-01
2018-12-01,Nepal,NPL,524,Asia,142,Southern Asia,34,63041100,"Bedspreads,Knitted Or Crocheted",Nos,0.65,0.99,0.0,2018-12-01
2018-10-01,Indonesia,IDN,360,Asia,142,South-eastern Asia,35,39172190,Others,Kgs,0.04,0.42,0.0,2018-10-01
2015-03-01,Nepal,NPL,524,Asia,142,Southern Asia,34,90181290,Othr Electro-Diagnostc Aparatus,Nos,0.21,8.78,0.01,2015-03-01
2019-09-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,68042210,Grndng Wheels Of Synthetc Abrasive Grains,Kgs,43.46,1739.31,2.44,2019-09-01
2021-04-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,85051110,Ferrite Cores,Kgs,0.88,6.87,0.01,2021-04-01
2018-04-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,54078126,Blechd Polyester Dhuti,Sqm,16.7,9.48,0.01,2018-04-01
2020-04-01,Israel,ISR,376,Asia,142,Western Asia,145,90183990,Others,Nos,6.94,16.96,0.02,2020-04-01
2016-09-01,Maldives,MDV,462,Asia,142,Southern Asia,34,90189019,Othr Diagonostics Instruments,Nos,0.1,1.11,0.0,2016-09-01
2024-08-01,Israel,ISR,376,Asia,142,Western Asia,145,30029090,Other,Kgs,156.0,0.09,0.01,2024-08-01
2017-10-01,Kazakhstan,KAZ,398,Asia,142,Central Asia,143,32064990,Other Preparations,Kgs,12.0,15.48,0.02,2017-10-01
2019-06-01,Nepal,NPL,524,Asia,142,Southern Asia,34,30045090,Others Put Up For Retail Sale,Kgs,5.99,91.5,0.13,2019-06-01
2024-12-01,Nepal,NPL,524,Asia,142,Southern Asia,34,39123919,Other Cellulose Ethers Non-Plasticized,Kgs,4935.0,0.33,0.04,2024-12-01
2024-09-01,China,CHN,156,Asia,142,Eastern Asia,30,85392930,Miniature Bulbs,Nos,5.0,0.0,0.0,2024-09-01
2016-10-01,Kuwait,KWT,414,Asia,142,Western Asia,145,74199930,*Articles Of Brass,Kgs,9.69,70.08,0.1,2016-10-01
2019-09-01,Islamic Republic of Iran,IRN,364,Asia,142,Southern Asia,34,85161000,Elctrc Instantaneous Or Storage Water Heaters And Immersion Heaters,Nos,0.01,0.26,0.0,2019-09-01
2016-12-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,9081120,Shelled,Kgs,34.32,196.0,0.29,2016-12-01
2020-11-01,Nepal,NPL,524,Asia,142,Southern Asia,34,73079290,Non-Galvanised,Kgs,4.25,16.64,0.02,2020-11-01
2018-06-01,Bahrain,BHR,48,Asia,142,Western Asia,145,82077090,Othr Tools For Milling,Kgs,0.01,0.44,0.0,2018-06-01
2024-12-01,Maldives,MDV,462,Asia,142,Southern Asia,34,85129000,Parts Of Elctrcl Lightng/Signalng Equip,Kgs,7.0,0.01,0.0,2024-12-01
2024-04-01,Kuwait,KWT,414,Asia,142,Western Asia,145,30049091,"Salbutamol, Terbutaline, Ephedrine, Salmeterol And Methyl Xanthimes",Kgs,2.0,0.01,0.0,2024-04-01
2016-04-01,Malaysia,MYS,458,Asia,142,South-eastern Asia,35,90041000,Sunglasses,Nos,0.57,1.68,0.0,2016-04-01
2021-09-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,32041620,Reactive Oranges,Kgs,152.9,246.27,0.33,2021-09-01
2020-05-01,Malaysia,MYS,458,Asia,142,South-eastern Asia,35,28322090,Other Sulphite,Kgs,225.6,64.8,0.09,2020-05-01
2018-12-01,Qatar,QAT,634,Asia,142,Western Asia,145,39073010,Epoxy Resins,Kgs,34.65,75.7,0.11,2018-12-01
2020-11-01,Bahrain,BHR,48,Asia,142,Western Asia,145,61069090,Blouses Etc Of Other Fibres,Nos,0.14,0.73,0.0,2020-11-01
2021-01-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,15155010,Crude Sesame Oil And Its Fractions,Kgs,0.26,0.56,0.0,2021-01-01
2018-09-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,39253000,Shutters Blinds(Including Venetian Blinds)And Similar Articles And Parts Thereof,Kgs,1.1,16.45,0.02,2018-09-01
2019-07-01,Oman,OMN,512,Asia,142,Western Asia,145,32041720,Pigment Oranges,Kgs,0.12,2.08,0.0,2019-07-01
2017-03-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,25181000,Dolomite Not Calcined Or Sintered,Kgs,1098.0,43.14,0.07,2017-03-01
2021-03-01,Japan,JPN,392,Asia,142,Eastern Asia,30,85011012,Stepper Motor Wth Output <=37.5 W,Nos,0.12,1.38,0.0,2021-03-01
2019-09-01,Maldives,MDV,462,Asia,142,Southern Asia,34,30049067,"Ketorolac, Nimesulide, Nabumetone And Nefopam",Kgs,0.0,6.98,0.01,2019-09-01
2015-12-01,Indonesia,IDN,360,Asia,142,South-eastern Asia,35,50072090,Items Othr Thn Sarees Contng >85% By Wt Of Slk Etc.,Sqm,0.0,0.08,0.0,2015-12-01
2015-06-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,73042400,"Other, Of Stainless Steel",Kgs,0.07,0.38,0.0,2015-06-01
2019-08-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,9023020,Black Tea In Packt>25 Gm But<=1 Kg,Kgs,76.75,291.0,0.41,2019-08-01
2019-03-01,Philippines,PHL,608,Asia,142,South-eastern Asia,35,65069100,Other Headgear Of Rubber Or Of Plastics,Kgs,0.1,0.27,0.0,2019-03-01
2020-01-01,Nepal,NPL,524,Asia,142,Southern Asia,34,13023290,"Othr Mucilages Thicknrs W/N Modifd,Derivd From Locust Beans Or Locust Bean Seed",Kgs,6.5,3.76,0.01,2020-01-01
2024-06-01,Macao,MAC,446,Asia,142,Eastern Asia,30,61112000,Babies Garments Etc Of Cotton,Kgs,2.0,0.0,0.0,2024-06-01
2015-10-01,China,CHN,156,Asia,142,Eastern Asia,30,85287218,Lcd Ctv Set Of Screen Size Below 63 Cm,Nos,0.0,1.95,0.0,2015-10-01
2024-12-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,33049910,Creams Face (Excl Turmaric),Kgs,53101.0,6.66,0.78,2024-12-01
2015-07-01,Nepal,NPL,524,Asia,142,Southern Asia,34,62114210,Kurta And Salwar Wth/Wthout Dupta Of Cotn,Nos,8.2,30.43,0.05,2015-07-01
2020-07-01,Malaysia,MYS,458,Asia,142,South-eastern Asia,35,73209020,Spring Pins,Kgs,0.01,0.03,0.0,2020-07-01
2021-10-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,85437012,Metal Detector,Nos,0.03,156.38,0.21,2021-10-01
2015-05-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,85392990,Oters,Nos,581.9,41.81,0.07,2015-05-01
2021-07-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,73090090,"Reservrs,Tanks,Vats Etc.Of Irn/Stl N.E.S.",Kgs,20.1,90.56,0.12,2021-07-01
2020-09-01,Malaysia,MYS,458,Asia,142,South-eastern Asia,35,38210000,Prpd Cultr Media Fr Micro-Orgnsms Dvlpmnt,Kgs,1.28,31.76,0.04,2020-09-01
2021-01-01,Iraq,IRQ,368,Asia,142,Western Asia,145,84099112,Pistons,Kgs,0.24,3.36,0.0,2021-01-01
2016-01-01,Saudi Arabia,SAU,682,Asia,142,Western Asia,145,3062200,*Lobster(Homarus Spp) Not Frozen,Kgs,0.07,0.38,0.0,2016-01-01
2025-03-01,Nepal,NPL,524,Asia,142,Southern Asia,34,33059030,Hair Cream,Kgs,4398.0,1.36,0.16,2025-03-01
2024-11-01,Bhutan,BTN,64,Asia,142,Southern Asia,34,84306100,"Tamping/Compacting Mchnry,Nt Slf-Prpld",Nos,1.0,0.01,0.0,2024-11-01
2024-07-01,Republic of Korea,KOR,410,Asia,142,Eastern Asia,30,38123910,Anti-Oxidants For Rubber,Kgs,3300.0,0.15,0.02,2024-07-01
2020-01-01,Myanmar,MMR,104,Asia,142,South-eastern Asia,35,84811000,Pressure-Reducing Valves,Kgs,0.1,2.66,0.0,2020-01-01
2019-06-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,39162099,Other Of Other Polmrs Of Vinyl Chlride,Kgs,0.12,0.94,0.0,2019-06-01
