Date (date),country_name,ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),commodity,unit,quantity,value_inr,value_usd,date
2020-10-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,9109911,Celery Seed,Kgs,0.2,0.19,0.0,2020-10-01
2018-01-01,Iraq,IRQ,368,Asia,142,Western Asia,145,21012090,Othr Extrcts Essncsand Cncntrts Of Tea/Mate,Kgs,3.86,22.91,0.04,2018-01-01
2019-12-01,Saudi Arabia,SAU,682,Asia,142,Western Asia,145,85319000,Parts Of Signaling/Traffic Control Eqpmnt,Kgs,0.04,7.56,0.01,2019-12-01
2017-02-01,Japan,JPN,392,Asia,142,Eastern Asia,30,71039910,*Felspar (Moon Stone) Cut,Crt,5.99,7.31,0.01,2017-02-01
2020-02-01,Thailand,THA,764,Asia,142,South-eastern Asia,35,74040022,"Brass Scrap Covered By Isri Code Drink , Ebony,Enerv,Elder,Engel,Erin,Grape,Honey, Ivory,Label,Lark,Malon,Night,Noble,",Kgs,0.01,0.02,0.0,2020-02-01
2021-03-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,29211190,"Formamide,N.E.S.",Kgs,1.65,24.3,0.03,2021-03-01
2024-05-01,Maldives,MDV,462,Asia,142,Southern Asia,34,40119000,Other,Nos,2.0,0.02,0.0,2024-05-01
2017-10-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,85359090,Others,Nos,3.53,5.71,0.01,2017-10-01
2025-03-01,Philippines,PHL,608,Asia,142,South-eastern Asia,35,73079390,Non Galvanised,Kgs,164.0,0.0,0.0,2025-03-01
2018-05-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,84182100,"Compression-Type Refrigerators,Household",Nos,0.96,88.77,0.13,2018-05-01
2017-10-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,38119000,Other Prepared Additives Anti-Corrsive Prpns And Othr Prpd Additvs,Kgs,2.49,2.38,0.0,2017-10-01
2018-11-01,Nepal,NPL,524,Asia,142,Southern Asia,34,28352500,Calcium Hydrogenortho Phosphate (Dicalcium Phosphate,Kgs,0.5,0.44,0.0,2018-11-01
2024-10-01,Qatar,QAT,634,Asia,142,Western Asia,145,27079900,"Other Oil And Oil Prodcts Of Distilation Of High Temp. Coal Tar, Etc.",Kgs,104450.0,0.92,0.11,2024-10-01
2016-08-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,85013310,D.C.Motors,Nos,0.01,17.96,0.03,2016-08-01
2019-12-01,Saudi Arabia,SAU,682,Asia,142,Western Asia,145,84719000,Other,Nos,0.15,116.3,0.16,2019-12-01
2017-06-01,Myanmar,MMR,104,Asia,142,South-eastern Asia,35,85149000,Parts Of Artcls In Hdng 8514,Kgs,0.0,0.08,0.0,2017-06-01
2025-01-01,Republic of Korea,KOR,410,Asia,142,Eastern Asia,30,9041130,Black Pepper Garbled,Kgs,250.0,0.03,0.0,2025-01-01
2018-08-01,Japan,JPN,392,Asia,142,Eastern Asia,30,84069000,Parts Of Turbines,Kgs,84.21,871.02,1.25,2018-08-01
2021-10-01,Oman,OMN,512,Asia,142,Western Asia,145,85123010,Horns,Nos,1.5,4.36,0.01,2021-10-01
2018-05-01,Philippines,PHL,608,Asia,142,South-eastern Asia,35,32050000,Colr Lakes,Kgs,5.06,66.89,0.1,2018-05-01
2024-07-01,Thailand,THA,764,Asia,142,South-eastern Asia,35,11010000,Wheat Or Meslin Flour,Kgs,80700.0,0.48,0.06,2024-07-01
2024-11-01,Bhutan,BTN,64,Asia,142,Southern Asia,34,73121010,"Wire Ropes,Black",Kgs,2739.0,0.46,0.05,2024-11-01
2021-11-01,Nepal,NPL,524,Asia,142,Southern Asia,34,61081990,Slips And Petticoats Of Other Fibres,Nos,0.41,0.3,0.0,2021-11-01
2024-05-01,Kuwait,KWT,414,Asia,142,Western Asia,145,87169010,Parts And Accessories Of Trailers,Kgs,35.0,0.0,0.0,2024-05-01
2016-06-01,Kuwait,KWT,414,Asia,142,Western Asia,145,30049057,Other Antitubercular Drugs,Kgs,0.09,3.14,0.0,2016-06-01
2018-12-01,Philippines,PHL,608,Asia,142,South-eastern Asia,35,73144990,Others,Kgs,0.1,0.16,0.0,2018-12-01
2017-09-01,Nepal,NPL,524,Asia,142,Southern Asia,34,84212190,Others,Nos,1.9,62.08,0.1,2017-09-01
2016-09-01,Malaysia,MYS,458,Asia,142,South-eastern Asia,35,29399900,"*Other Veg Alkaloids Ntrl Or Rprdcd By Synthis, Thr Salts , Estrs Ethersand Othe Drvtvs",Kgs,0.53,37.7,0.06,2016-09-01
2018-04-01,Maldives,MDV,462,Asia,142,Southern Asia,34,70132800,Other,Kgs,0.15,0.42,0.0,2018-04-01
2021-03-01,Malaysia,MYS,458,Asia,142,South-eastern Asia,35,69120040,"Clay Articls As Tableware, Kitchenware Etc",Kgs,6.48,10.46,0.01,2021-03-01
2015-05-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,44170000,"Tools,Tool Bodies,Tool Handles Broom Or Brush Bodies And Handles, Or Wood Boot Or Shoe Lasts And Trees,Of Wood",Kgs,0.75,1.11,0.0,2015-05-01
2025-02-01,Nepal,NPL,524,Asia,142,Southern Asia,34,21039040,"Mcxed, Condiments And Mixed Seasoning",Kgs,28913.0,0.86,0.1,2025-02-01
2017-10-01,Republic of Korea,KOR,410,Asia,142,Eastern Asia,30,39095000,Polyurethanes,Kgs,8.0,10.68,0.02,2017-10-01
2020-09-01,Israel,ISR,376,Asia,142,Western Asia,145,32030090,Other Colouring Matter Of Animal Origin,Kgs,0.23,134.61,0.18,2020-09-01
2021-09-01,Thailand,THA,764,Asia,142,South-eastern Asia,35,29212100,Ethylenediamine And Its Salts,Kgs,2.0,50.48,0.07,2021-09-01
2021-09-01,Islamic Republic of Iran,IRN,364,Asia,142,Southern Asia,34,84135090,Others,Nos,0.02,11.79,0.02,2021-09-01
2015-03-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,4069000,Other Cheese,Kgs,39.76,106.44,0.17,2015-03-01
2020-07-01,Bahrain,BHR,48,Asia,142,Western Asia,145,84314390,"Prts Of Borng/Snkng Mchnry,Not Slf-Prpld",Kgs,0.11,3.57,0.0,2020-07-01
2018-04-01,Nepal,NPL,524,Asia,142,Southern Asia,34,68022390,Others,Kgs,137.54,25.04,0.04,2018-04-01
2019-06-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,71179090,Other Imitation Jewellery For Personal Adornment(Other Than Artware),Kgs,0.14,11.6,0.02,2019-06-01
2016-05-01,Nepal,NPL,524,Asia,142,Southern Asia,34,8051000,Oranges Fresh Or Dried,Kgs,131.84,30.27,0.05,2016-05-01
2025-01-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,29053100,Ethylene Glycol (Ethanediol),Kgs,230000.0,1.3,0.15,2025-01-01
2020-12-01,Yemen,YEM,887,Asia,142,Western Asia,145,73181600,Threaded Nuts,Kgs,0.0,0.03,0.0,2020-12-01
2020-09-01,China,CHN,156,Asia,142,Eastern Asia,30,29071210,Para Cresol (P-Cresols),Kgs,46.0,75.8,0.1,2020-09-01
2015-05-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,33011990,Others,Kgs,0.05,1.27,0.0,2015-05-01
2017-04-01,Philippines,PHL,608,Asia,142,South-eastern Asia,35,30045090,Others Put Up For Retail Sale,Kgs,1.01,30.26,0.05,2017-04-01
2025-03-01,Oman,OMN,512,Asia,142,Western Asia,145,17049020,Boiled Sweets W/N Filled,Kgs,1725.0,0.03,0.0,2025-03-01
2019-04-01,Thailand,THA,764,Asia,142,South-eastern Asia,35,21012010,Instant Tea,Kgs,17.55,88.06,0.13,2019-04-01
2015-10-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,30042012,"Cephalexin - Formulations Thereof, In Capsules Etc.",Kgs,8.89,120.17,0.18,2015-10-01
2017-03-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,73072300,Butt Welding Fittings Of Stainless Steel,Kgs,12.73,60.32,0.09,2017-03-01
2021-12-01,Bhutan,BTN,64,Asia,142,Southern Asia,34,39264039,Other Statuettes,Kgs,0.06,0.7,0.0,2021-12-01
2020-04-01,Nepal,NPL,524,Asia,142,Southern Asia,34,15151990,Other Linseed Oil Other Than Edble Grade,Kgs,0.16,0.31,0.0,2020-04-01
2017-11-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,12099150,Radish Seeds Used For Sowing,Kgs,20.0,14.81,0.02,2017-11-01
2021-07-01,Thailand,THA,764,Asia,142,South-eastern Asia,35,32041571,Vat Brown 1(Brown Br),Kgs,0.1,2.67,0.0,2021-07-01
2021-11-01,Nepal,NPL,524,Asia,142,Southern Asia,34,34011190,Othr Soap And Orgnc Surface Active Productfor Tiolet Use (Incl Medicated Prdcts),Kgs,124.36,378.79,0.51,2021-11-01
2019-10-01,Indonesia,IDN,360,Asia,142,South-eastern Asia,35,29211190,"Formamide,N.E.S.",Kgs,10.0,9.91,0.01,2019-10-01
2017-08-01,Nepal,NPL,524,Asia,142,Southern Asia,34,84485900,Othr Prts And Accssrs Of Mchns Of Hdg 8447,Kgs,5.99,54.91,0.09,2017-08-01
2016-01-01,Singapore,SGP,702,Asia,142,South-eastern Asia,35,48203000,Binders Folders And File Covers,Kgs,0.03,1.1,0.0,2016-01-01
2019-11-01,Nepal,NPL,524,Asia,142,Southern Asia,34,84789000,Parts Of Tobaco Makng Machnry,Kgs,0.02,1.68,0.0,2019-11-01
2015-05-01,China,CHN,156,Asia,142,Eastern Asia,30,52054420,Bleached,Kgs,0.15,1.4,0.0,2015-05-01
2018-11-01,Malaysia,MYS,458,Asia,142,South-eastern Asia,35,30049099,Other Medcne Put Up For Retail Sale N.E.S,Kgs,12.1,641.93,0.89,2018-11-01
2021-07-01,Islamic Republic of Iran,IRN,364,Asia,142,Southern Asia,34,87149100,"Frames,Forks And Prts Thereof",Nos,0.01,0.05,0.0,2021-07-01
2015-08-01,Oman,OMN,512,Asia,142,Western Asia,145,73239420,Utensils,Kgs,4.31,22.6,0.03,2015-08-01
2018-01-01,Oman,OMN,512,Asia,142,Western Asia,145,90303310,"Ammeters, Volt Meters And Watt Meters",Nos,0.07,0.25,0.0,2018-01-01
2015-08-01,China,CHN,156,Asia,142,Eastern Asia,30,90219010,Parts And Accessories Of Hearing Aids,Kgs,,3.78,0.01,2015-08-01
2024-10-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,27079100,Creosote Oils,Kgs,40168.0,0.16,0.02,2024-10-01
2024-07-01,Republic of Korea,KOR,410,Asia,142,Eastern Asia,30,48209090,Others,Kgs,7.0,0.0,0.0,2024-07-01
2021-12-01,Saudi Arabia,SAU,682,Asia,142,Western Asia,145,57025031,Crpts Etc Of Cotton(Nt Durries),Sqm,2.57,15.65,0.02,2021-12-01
2019-01-01,Democratic People's Republic of Korea,PRK,408,Asia,142,Eastern Asia,30,56022100,"Felt,Not Impregnated,Coated,Covered/ Laminated,Of Wool/Fine Animal Hair",Kgs,0.0,0.03,0.0,2019-01-01
2019-03-01,Oman,OMN,512,Asia,142,Western Asia,145,28151200,Naoh In Aqs Soln (Soda Lye Or Lqd Soda),Kgs,0.48,0.53,0.0,2019-03-01
2019-03-01,Sri Lanka,LKA,144,Asia,142,Southern Asia,34,38059090,Other (Crude Dipentine Etc) Nes,Kgs,19.23,33.08,0.05,2019-03-01
2024-12-01,"Taiwan, Province of China",TWN,158,Asia,142,Eastern Asia,30,82074090,Othr Tools For Tapping And Threading,Kgs,86.0,0.06,0.01,2024-12-01
2021-07-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,5080030,Cowries,Kgs,1.95,1.16,0.0,2021-07-01
2015-01-01,Georgia,GEO,268,Asia,142,Western Asia,145,85167990,Others,Nos,0.04,1.26,0.0,2015-01-01
2019-10-01,Qatar,QAT,634,Asia,142,Western Asia,145,30042099,Othr Medicament Containing Othr Antibioticand Put Up For Retail Sale,Kgs,0.05,5.05,0.01,2019-10-01
2018-01-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,72083990,"Othr Flat-Rold Prdcts In Coils Of A Thckns< 3 Mm Hot-Rld,Excl.Pickl",Kgs,40.0,16.15,0.03,2018-01-01
2021-05-01,Thailand,THA,764,Asia,142,South-eastern Asia,35,72155090,Others,Kgs,63.15,54.35,0.07,2021-05-01
2018-05-01,Thailand,THA,764,Asia,142,South-eastern Asia,35,34021190,"*Others(E.G.Alkylsulphates,Technical Dodecylbenzene-Sulphonates,Etc)",Kgs,81.68,91.57,0.14,2018-05-01
2020-01-01,Qatar,QAT,634,Asia,142,Western Asia,145,8081000,Apples Frsh,Kgs,2.88,1.16,0.0,2020-01-01
2018-07-01,Nepal,NPL,524,Asia,142,Southern Asia,34,9022090,Other Green Tea(Not Fermented) Nes,Kgs,0.0,0.02,0.0,2018-07-01
2019-12-01,Republic of Korea,KOR,410,Asia,142,Eastern Asia,30,85015110,A.C. Squirrel Cage Induction Motors 3 Phase Type,Nos,0.02,3.76,0.01,2019-12-01
2018-06-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,82072000,Dies For Drawng Or Extrudng Metal,Kgs,0.01,4.53,0.01,2018-06-01
2024-04-01,Lebanon,LBN,422,Asia,142,Western Asia,145,34024900,Other,Kgs,1000.0,0.05,0.01,2024-04-01
2015-09-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,62114910,Of Wool Or Fine Animal Hair Of Silk,Nos,0.0,0.06,0.0,2015-09-01
2020-05-01,Malaysia,MYS,458,Asia,142,South-eastern Asia,35,30049013,Medicaments Of Siddha System,Kgs,0.03,0.71,0.0,2020-05-01
2016-06-01,Nepal,NPL,524,Asia,142,Southern Asia,34,8011990,Othr Coconuts Excldng Fresh And Dried And Desiccated And Endocarp,Kgs,3.35,1.06,0.0,2016-06-01
2018-07-01,Iraq,IRQ,368,Asia,142,Western Asia,145,29420090,"Other Diloxanide Furoate, Cimetidine, Famotidine Nes",Kgs,0.42,54.45,0.08,2018-07-01
2015-04-01,Pakistan,PAK,586,Asia,142,Southern Asia,34,12119049,Other Roots And Rhizomes Frsh/Drd W/N Cut Crshd/Pwdrd,Kgs,1.2,2.97,0.0,2015-04-01
2018-03-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,84463090,Others,Nos,0.0,37.59,0.06,2018-03-01
2024-05-01,Republic of Korea,KOR,410,Asia,142,Eastern Asia,30,61046990,"Trousers,Bib And Brace Etc Of Other Fibres",Nos,221.0,0.01,0.0,2024-05-01
2015-01-01,Turkiye,TUR,792,Asia,142,Western Asia,145,85045090,Others,Nos,0.01,1.26,0.0,2015-01-01
2017-06-01,Israel,ISR,376,Asia,142,Western Asia,145,61046990,"Trousers,Bib And Brace Etc Of Other Fibres",Nos,99.32,118.77,0.18,2017-06-01
2021-01-01,Japan,JPN,392,Asia,142,Eastern Asia,30,44209090,Others,Kgs,0.06,0.37,0.0,2021-01-01
2017-11-01,Oman,OMN,512,Asia,142,Western Asia,145,39239090,Othr Artcls For Cnvynce/Pckng Of Goods Nes,Kgs,55.47,59.56,0.09,2017-11-01
2020-11-01,Nepal,NPL,524,Asia,142,Southern Asia,34,29173910,Dibutyl Phthalate,Kgs,10.12,9.18,0.01,2020-11-01
2018-06-01,"Taiwan, Province of China",TWN,158,Asia,142,Eastern Asia,30,49011020,Pamphlets Booklets Brochures Leaflets,Nos,70.18,1.18,0.0,2018-06-01
2019-07-01,Lebanon,LBN,422,Asia,142,Western Asia,145,21069060,Food Flavouring Material,Kgs,0.05,0.77,0.0,2019-07-01
2018-07-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,30049085,Veterinary Medicinal Preparations N.E.S.,Kgs,0.7,24.26,0.04,2018-07-01
2018-04-01,Saudi Arabia,SAU,682,Asia,142,Western Asia,145,8062010,Raisins,Kgs,784.0,1148.18,1.75,2018-04-01
2021-02-01,Yemen,YEM,887,Asia,142,Western Asia,145,84099114,Piston Assembles,Kgs,0.3,4.39,0.01,2021-02-01
2018-04-01,Kuwait,KWT,414,Asia,142,Western Asia,145,33012945,Cumin Oil,Kgs,0.03,0.7,0.0,2018-04-01
2018-09-01,Maldives,MDV,462,Asia,142,Southern Asia,34,39201092,"Othr Plts,Sheet Etc Of Polymrs Of Ethyleneflexible, Plain",Kgs,0.02,0.04,0.0,2018-09-01
2025-01-01,Bhutan,BTN,64,Asia,142,Southern Asia,34,62032300,Ensembles Of Synthetic Fibres,Nos,21.0,0.0,0.0,2025-01-01
2015-12-01,Turkiye,TUR,792,Asia,142,Western Asia,145,25010090,Other Salts,Kgs,2.0,0.83,0.0,2015-12-01
2016-05-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,12119022,Senna Leaves And Pads,Kgs,671.0,169.71,0.25,2016-05-01
2020-07-01,Japan,JPN,392,Asia,142,Eastern Asia,30,82055920,Metal Working Hnd Tools,Kgs,8.24,10.53,0.01,2020-07-01
2018-07-01,Syrian Arab Republic,SYR,760,Asia,142,Western Asia,145,84799040,"Parts 0F Plants And Machinery For Chemicals,Pharmaceuticals Etc",Kgs,1.12,56.23,0.08,2018-07-01
2016-08-01,United Arab Emirates,ARE,784,Asia,142,Western Asia,145,62044310,House Coats And Like Dresses Of Synth Fibres,Nos,87.95,441.16,0.66,2016-08-01
2016-07-01,Malaysia,MYS,458,Asia,142,South-eastern Asia,35,25301090,"Other Vermiculite,Perlite And Calorits Unexpanded (Includng Powder)",Kgs,442.0,23.71,0.04,2016-07-01
2021-02-01,Turkiye,TUR,792,Asia,142,Western Asia,145,73043119,Other Made Upto 114.3 Mm Outer Diameter,Kgs,41.9,32.51,0.04,2021-02-01
2020-12-01,Israel,ISR,376,Asia,142,Western Asia,145,85446090,Othr Elctrc Cndctrs Fr A Vltg Excdg 1000 V Excl Papr Plsctic And Rubber Insulated,Mtr,0.03,0.05,0.0,2020-12-01
2017-10-01,Thailand,THA,764,Asia,142,South-eastern Asia,35,29121990,Other Acyclic Aldehyds Without Other Oxygn Function,Kgs,2.07,8.13,0.01,2017-10-01
2017-11-01,Turkiye,TUR,792,Asia,142,Western Asia,145,62064000,"Blouses,Shirts Etc Of Man-Made Fibres",Nos,15.73,46.78,0.07,2017-11-01
2019-07-01,Turkiye,TUR,792,Asia,142,Western Asia,145,72221992,Others Nickel Chromium Austenitic Type,Kgs,129.02,209.57,0.3,2019-07-01
2016-08-01,Iraq,IRQ,368,Asia,142,Western Asia,145,12099190,Vegetable Seeds For Planting N.E.S.,Kgs,0.4,0.48,0.0,2016-08-01
2020-05-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,29359090,Other,Kgs,156.61,136.37,0.18,2020-05-01
2024-08-01,Bangladesh,BGD,50,Asia,142,Southern Asia,34,28112200,Silicon Dioxide,Kgs,76695.0,1.03,0.12,2024-08-01
2015-01-01,Bahrain,BHR,48,Asia,142,Western Asia,145,96082000,Felt-Tppd And Othr Porous-Tipd Pens And Mrkrs,Nos,5.84,2.66,0.0,2015-01-01
2020-07-01,Saudi Arabia,SAU,682,Asia,142,Western Asia,145,62034300,"Trousers,Bib And Brace,Overalls,Breeches And Shorts Of Synthetic Fibrs,Mens Or Boys",Nos,24.93,203.74,0.27,2020-07-01
2016-07-01,Nepal,NPL,524,Asia,142,Southern Asia,34,84142020,Other Hand Air Pumps,Nos,0.31,2.2,0.0,2016-07-01
2020-03-01,Viet Nam,VNM,704,Asia,142,South-eastern Asia,35,90213900,Others,Nos,0.52,0.43,0.0,2020-03-01
2017-03-01,Nepal,NPL,524,Asia,142,Southern Asia,34,53050040,C0Ir Pith,Kgs,5.02,0.3,0.0,2017-03-01
2025-03-01,Armenia,ARM,51,Asia,142,Western Asia,145,74153390,Other Screws; Bolts And Nuts :Threaded,Kgs,255.0,0.06,0.01,2025-03-01
2019-11-01,Oman,OMN,512,Asia,142,Western Asia,145,71141110,Manufactures Of Silver,Kgs,0.01,6.62,0.01,2019-11-01
2016-03-01,Republic of Korea,KOR,410,Asia,142,Eastern Asia,30,24012040,"Burley Tobaco, Partly/Wholly Stmd/Stripped",Kgs,792.0,1288.43,1.92,2016-03-01
